"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","174741","Go to symbol","ctrl+alt+shift+n","alt+cmd+o","IntelliJ IDEA","Navigation","ctrl alt shift"
"","174742","Go to next / previous editor tab","alt+right or alt+left","ctrl+right or ctrl+left","IntelliJ IDEA","Navigation","alt"
"","174743","Go back to previous tool window","f12","f12","IntelliJ IDEA","Navigation","None"
"","174744","Go to editor (from tool window)","esc","esc","IntelliJ IDEA","Navigation","None"
"","174745","Hide active or last active window","shift+esc","shift+esc","IntelliJ IDEA","Navigation","shift"
"","174746","Go to line","ctrl+g","cmd+l","IntelliJ IDEA","Navigation","ctrl"
"","174747","Recent files popup","ctrl+e","cmd+e","IntelliJ IDEA","Navigation","ctrl"
"","174748","Navigate back","ctrl+alt+left","alt+cmd+left","IntelliJ IDEA","Navigation","ctrl alt"
"","174749","Navigate forward","ctrl+alt+right","alt+cmd+right","IntelliJ IDEA","Navigation","ctrl alt"
"","174750","Navigate to last edit location","ctrl+shift+backspace","shift+cmd+backspace","IntelliJ IDEA","Navigation","ctrl shift"
"","174751","Select current file or symbol in any view","alt+f1","alt+f1","IntelliJ IDEA","Navigation","alt"
"","174752","Go to declaration","ctrl+b","cmd+b","IntelliJ IDEA","Navigation","ctrl"
"","174753","Go to implementation(s)","ctrl+alt+b","shift+cmd+b","IntelliJ IDEA","Navigation","ctrl alt"
"","174754","Open quick definition lookup","ctrl+shift+i","alt+space or cmd+y","IntelliJ IDEA","Navigation","ctrl shift"
"","174755","Go to type declaration","ctrl+shift+b","ctrl+shift+b","IntelliJ IDEA","Navigation","ctrl shift"
"","174756","Go to super-method/ super-class","ctrl+u","cmd+u","IntelliJ IDEA","Navigation","ctrl"
"","174757","Go to previous / next method","alt+up or alt+down","ctrl+up or ctrl+down","IntelliJ IDEA","Navigation","alt"
"","174758","Move to code block end / start","ctrl+] or ctrl+[","cmd+] or cmd+[","IntelliJ IDEA","Navigation","ctrl"
"","174759","File structure popup","ctrl+f12","cmd+f12","IntelliJ IDEA","Navigation","ctrl"
"","174760","Type hierarchy","ctrl+h","ctrl+h","IntelliJ IDEA","Navigation","ctrl"
"","174761","Method hierarchy","ctrl+shift+h","shift+cmd+h","IntelliJ IDEA","Navigation","ctrl shift"
"","174762","Call hierarchy","ctrl+alt+h","ctrl+alt+h","IntelliJ IDEA","Navigation","ctrl alt"
"","174763","Next highlighted error","f2","f2","IntelliJ IDEA","Navigation","None"
"","174764","Previous highlighted error","shift+f2","shift+f2","IntelliJ IDEA","Navigation","shift"
"","174765","Edit source/View source","f4 or ctrl+enter","f4 or cmd+enter","IntelliJ IDEA","Navigation","ctrl"
"","174766","Show navigation bar","alt+home","alt+home","IntelliJ IDEA","Navigation","alt"
"","174767","Toggle bookmark","f11","f3","IntelliJ IDEA","Navigation","None"
"","174768","Toggle bookmark with mnemonic","ctrl+f11","alt+f3","IntelliJ IDEA","Navigation","ctrl"
