"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","72073","Jump to Instruction Pointer","n/A","ctrl+cmd+p","XCode","Navigate Menu","ctrl cmd"
"","72074","Jump to Next Counterpart","n/A","ctrl+cmd+up","XCode","Navigate Menu","ctrl cmd"
"","72075","Jump to Next Counterpart in Next Editor","n/A","ctrl+alt+cmd+up","XCode","Navigate Menu","ctrl alt cmd"
"","72076","Jump to Next Counterpart in…","n/A","ctrl+alt+shift+cmd+up","XCode","Navigate Menu","ctrl alt shift cmd"
"","72077","Jump to Previous Counterpart","n/A","ctrl+cmd+down","XCode","Navigate Menu","ctrl cmd"
"","72078","Jump to Previous Counterpart in Next Editor","n/A","ctrl+alt+cmd+down","XCode","Navigate Menu","ctrl alt cmd"
"","72079","Jump to Previous Counterpart in…","n/A","ctrl+alt+shift+cmd+down","XCode","Navigate Menu","ctrl alt shift cmd"
"","72080","Jump to…","n/A","cmd+l","XCode","Navigate Menu","cmd"
"","72081","Jump to Next Placeholder","n/A","ctrl+/","XCode","Navigate Menu","ctrl"
"","72082","Jump to Previous Placeholder","n/A","ctrl+?","XCode","Navigate Menu","ctrl"
"","72083","Jump to Next Change","n/A","ctrl+\","XCode","Navigate Menu","ctrl"
"","72084","Jump to Next Local or Upstream Change","n/A","ctrl+alt+\","XCode","Navigate Menu","ctrl alt"
"","72085","Jump to Previous Change","n/A","ctrl+shift+\","XCode","Navigate Menu","ctrl shift"
"","72086","Jump to Previous Local or Upstream Change","n/A","ctrl+alt+shift+\","XCode","Navigate Menu","ctrl alt shift"
"","72087","Jump Lo Next Local or Upstream Change","n/A","ctrl+alt+\","XCode","Navigate Menu","ctrl alt"
"","72088","Jump to Commit View","n/A","alt+shift+cmd+c","XCode","Navigate Menu","alt shift cmd"
"","72089","Show Completions","n/A","ctrl+space","XCode","Editor Menu","ctrl"
"","72090","Edit All in Scope","n/A","ctrl+cmd+e","XCode","Editor Menu","ctrl cmd"
"","72091","Fix All Issues","n/A","ctrl+alt+cmd+f","XCode","Editor Menu","ctrl alt cmd"
"","72092","Show All Issues","n/A","ctrl+cmd+m","XCode","Editor Menu","ctrl cmd"
"","72093","Refresh","n/A","alt+cmd+p","XCode","Editor Menu","alt cmd"
"","72094","Select Column Up","n/A","ctrl+shift+up","XCode","Editor Menu","ctrl shift"
"","72095","Select Column Down","n/A","ctrl+shift+down","XCode","Editor Menu","ctrl shift"
"","72096","Re-Indent","n/A","ctrl+shift+\","XCode","Editor Menu","ctrl shift"
"","72097","Shift+ Right","n/A","cmd+]","XCode","Editor Menu","cmd"
"","72098","Shift+ Left","n/A","cmd+[","XCode","Editor Menu","cmd"
"","72099","Move Line Up","n/A","alt+cmd+[","XCode","Editor Menu","alt cmd"
"","72100","Move Line Down","n/A","alt+cmd+]","XCode","Editor Menu","alt cmd"
"","72101","Comment Selection","n/A","cmd+/","XCode","Editor Menu","cmd"
"","72102","Add Documentation","n/A","alt+cmd+/","XCode","Editor Menu","alt cmd"
"","72103","Fold","n/A","alt+cmd+left","XCode","Editor Menu","alt cmd"
"","72104","Unfold","n/A","alt+cmd+right","XCode","Editor Menu","alt cmd"
"","72105","Fold Methods & Functions","n/A","alt+shift+cmd+left","XCode","Editor Menu","alt shift cmd"
"","72106","Unfold Methods & Functions","n/A","alt+shift+cmd+right","XCode","Editor Menu","alt shift cmd"
"","72107","Fold Comment Blocks","n/A","ctrl+shift+cmd+left","XCode","Editor Menu","ctrl shift cmd"
"","72108","Unfold Comment Blocks","n/A","ctrl+shift+cmd+right","XCode","Editor Menu","ctrl shift cmd"
"","72109","Increase","n/A","cmd+plus","XCode","Editor Menu","cmd"
"","72110","Decrease","n/A","cmd+-","XCode","Editor Menu","cmd"
"","72111","Reset","n/A","ctrl+cmd+0","XCode","Editor Menu","ctrl cmd"
"","72112","Show Editor Only","n/A","cmd+enter","XCode","Editor Menu","cmd"
"","72113","Assistant","n/A","ctrl+alt+cmd+enter","XCode","Editor Menu","ctrl alt cmd"
"","72114","Zoom In","n/A","cmd+plus","XCode","Editor Menu","cmd"
"","72115","Zoom Out","n/A","cmd+-","XCode","Editor Menu","cmd"
"","72116","Actual Size","n/A","ctrl+cmd+=","XCode","Editor Menu","ctrl cmd"
"","72117","Select Next Draw/Encoder","n/A","ctrl+alt+right","XCode","Editor Menu","ctrl alt"
"","72118","Select Prev Draw/Encoder","n/A","ctrl+alt+left","XCode","Editor Menu","ctrl alt"
"","72119","Preview","n/A","alt+cmd+enter","XCode","Editor Menu","alt cmd"
"","72120","Align Left Edges","n/A","cmd+[","XCode","Editor Menu","cmd"
"","72121","Align Right Edges","n/A","cmd+]","XCode","Editor Menu","cmd"
"","72122","Size to Fit Content","n/A","cmd+=","XCode","Editor Menu","cmd"
"","72123","Update Frames","n/A","alt+cmd+=","XCode","Editor Menu","alt cmd"
"","72124","Add Horizontal Guide","n/A","cmd+_","XCode","Editor Menu","cmd"
"","72125","Add Vertical Guide","n/A","ctrl+shift+cmd+\","XCode","Editor Menu","ctrl shift cmd"
"","72126","Reset to Suggested Constraints","n/A","alt+shift+cmd+=","XCode","Editor Menu","alt shift cmd"
"","72127","Zoom to 100%","n/A","ctrl+cmd+=","XCode","Editor Menu","ctrl cmd"
"","72128","Reset to Suggested Constraints","n/A","alt+plus","XCode","Editor Menu","alt"
"","72129","Zoom Actual Size","n/A","ctrl+cmd+=","XCode","Editor Menu","ctrl cmd"
"","72130","Next Page","n/A","alt+cmd+down","XCode","Editor Menu","alt cmd"
"","72131","Previous Page","n/A","alt+cmd+up","XCode","Editor Menu","alt cmd"
"","72132","Authors","n/A","ctrl+shift+cmd+a","XCode","Editor Menu","ctrl shift cmd"
"","72133","Run Playground","n/A","shift+cmd+enter","XCode","Editor Menu","shift cmd"
"","72134","Run Playground to Current Line","n/A","shift+enter","XCode","Editor Menu","shift"
"","72135","Run Playground from Top to Current Line","n/A","alt+shift+enter","XCode","Editor Menu","alt shift"
"","72136","Focus Selection","n/A","alt+f","XCode","Editor Menu","alt"
"","72137","Make Text Bigger","n/A","cmd+plus","XCode","Editor Menu","cmd"
"","72138","Make Text Smaller","n/A","cmd+-","XCode","Editor Menu","cmd"
"","72139","Show Code Actions","n/A","shift+cmd+a","XCode","Editor Menu","shift cmd"
"","72140","Minimap","n/A","ctrl+shift+cmd+m","XCode","Editor Menu","ctrl shift cmd"
"","72141","Edit / Simulate","n/A","ctrl+space","XCode","Editor Menu","ctrl"
"","72142","Restore Zoom","n/A","ctrl+cmd+=","XCode","Editor Menu","ctrl cmd"
"","72143","Show Tests","n/A","ctrl+alt+1","XCode","Editor Menu","ctrl alt"
"","72144","Show Configuration","n/A","ctrl+alt+2","XCode","Editor Menu","ctrl alt"
"","72145","Zoom Actual","n/A","ctrl+cmd+=","XCode","Editor Menu","ctrl cmd"
"","72146","Run","n/A","cmd+r","XCode","Product Menu","cmd"
"","72147","Run…","n/A","alt+cmd+r","XCode","Product Menu","alt cmd"
"","72148","Test","n/A","cmd+u","XCode","Product Menu","cmd"
"","72149","Test…","n/A","alt+cmd+u","XCode","Product Menu","alt cmd"
"","72150","Profile","n/A","cmd+i","XCode","Product Menu","cmd"
"","72151","Profile…","n/A","alt+cmd+i","XCode","Product Menu","alt cmd"
"","72152","Analyze","n/A","shift+cmd+b","XCode","Product Menu","shift cmd"
"","72153","Analyze…","n/A","alt+shift+cmd+b","XCode","Product Menu","alt shift cmd"
"","72154","Copy to Device (Internal Only)","n/A","ctrl+cmd+a","XCode","Product Menu","ctrl cmd"
"","72155","Running","n/A","shift+cmd+r","XCode","Product Menu","shift cmd"
"","72156","Testing","n/A","shift+cmd+u","XCode","Product Menu","shift cmd"
"","72157","Profiling","n/A","shift+cmd+i","XCode","Product Menu","shift cmd"
"","72158","Run Without Building","n/A","ctrl+cmd+r","XCode","Product Menu","ctrl cmd"
"","72159","Test Without Building","n/A","ctrl+cmd+u","XCode","Product Menu","ctrl cmd"
"","72160","Profile Without Building","n/A","ctrl+cmd+i","XCode","Product Menu","ctrl cmd"
"","72161","Test","n/A","ctrl+alt+cmd+u","XCode","Product Menu","ctrl alt cmd"
"","72162","Test Again","n/A","ctrl+alt+cmd+g","XCode","Product Menu","ctrl alt cmd"
"","72163","Compile File","n/A","ctrl+cmd+b","XCode","Product Menu","ctrl cmd"
"","72164","Analyze File","n/A","ctrl+shift+cmd+b","XCode","Product Menu","ctrl shift cmd"
"","72165","Build","n/A","cmd+b","XCode","Product Menu","cmd"
"","72166","Clean","n/A","shift+cmd+k","XCode","Product Menu","shift cmd"
"","72167","Clean Build Folder…","n/A","alt+shift+cmd+k","XCode","Product Menu","alt shift cmd"
"","72168","Stop","n/A","cmd+.","XCode","Product Menu","cmd"
"","72169","Choose Scheme","n/A","ctrl+0","XCode","Product Menu","ctrl"
"","72170","Select Next Scheme","n/A","ctrl+cmd+]","XCode","Product Menu","ctrl cmd"
"","72171","Select Previous Scheme","n/A","ctrl+cmd+[","XCode","Product Menu","ctrl cmd"
"","72172","Edit Scheme…","n/A","cmd+<","XCode","Product Menu","cmd"
"","72173","Choose Destination","n/A","ctrl+shift+0","XCode","Product Menu","ctrl shift"
"","72174","Select Next Destination","n/A","ctrl+alt+cmd+]","XCode","Product Menu","ctrl alt cmd"
"","72175","Select Previous Destination","n/A","ctrl+alt+cmd+[","XCode","Product Menu","ctrl alt cmd"
"","72176","Edit Test Plan","n/A","cmd+>","XCode","Product Menu","cmd"
"","72177","Release GPU Frame","n/A","ctrl+cmd+y","XCode","Debug Menu GPU","ctrl cmd"
"","72178","Step to Previous Draw/Dispatch Call","n/A","f5","XCode","Debug Menu GPU","None"
"","72179","Step to Next Draw/Dispatch Call","n/A","f6","XCode","Debug Menu GPU","None"
"","72180","Step to Previous GPU Call","n/A","ctrl+f5","XCode","Debug Menu GPU","ctrl"
"","72181","Step to Next GPU Call","n/A","ctrl+f6","XCode","Debug Menu GPU","ctrl"
"","72182","Pause / Continue","n/A","ctrl+cmd+y","XCode","Debug Menu","ctrl cmd"
"","72183","Continue To Current Line","n/A","ctrl+cmd+c","XCode","Debug Menu","ctrl cmd"
"","72184","Step Over","n/A","f6","XCode","Debug Menu","None"
"","72185","Step Into","n/A","f7","XCode","Debug Menu","None"
"","72186","Step Out","n/A","f8","XCode","Debug Menu","None"
"","72187","Step Over Instruction","n/A","ctrl+f6","XCode","Debug Menu","ctrl"
"","72188","Step Over Thread","n/A","ctrl+shift+f6","XCode","Debug Menu","ctrl shift"
"","72189","Step Into Instruction","n/A","ctrl+f7","XCode","Debug Menu","ctrl"
"","72190","Step Into Thread","n/A","ctrl+shift+f7","XCode","Debug Menu","ctrl shift"
"","72191","Activate Breakpoints","n/A","cmd+y","XCode","Debug Menu","cmd"
"","72192","Add Breakpoint at Current Line","n/A","cmd+\","XCode","Debug Menu","cmd"
"","72193","Create Symbolic Breakpoint…","n/A","alt+cmd+\","XCode","Debug Menu","alt cmd"
"","72194","View Memory","n/A","ctrl+alt+shift+cmd+m","XCode","Debug Menu","ctrl alt shift cmd"
"","72195","Clear Console","n/A","cmd+k","XCode","Debug Menu","cmd"
"","72196","Reload Console","n/A","alt+cmd+k","XCode","Debug Menu","alt cmd"
"","72197","Commit…","n/A","alt+cmd+c","XCode","Source Control Menu","alt cmd"
"","72198","Pull…","n/A","alt+cmd+x","XCode","Source Control Menu","alt cmd"
"","72199","Minimize","n/A","cmd+m","XCode","Window Menu","cmd"
"","72200","Rename Tab…","n/A","alt+shift+cmd+t","XCode","Window Menu","alt shift cmd"
"","72201","Show Previous Tab","n/A","ctrl+shift+tab","XCode","Window Menu","ctrl shift"
